crate,version,origin,license_expression
ab_glyph,0.2.32,crates.io,Apache-2.0
ab_glyph_rasterizer,0.1.10,crates.io,Apache-2.0
accesskit,0.24.1,crates.io,MIT OR Apache-2.0
accesskit_consumer,0.35.0,crates.io,MIT OR Apache-2.0
accesskit_consumer,0.38.0,crates.io,MIT OR Apache-2.0
accesskit_macos,0.26.3,crates.io,MIT OR Apache-2.0
accesskit_windows,0.32.1,crates.io,MIT OR Apache-2.0
accesskit_winit,0.32.2,crates.io,Apache-2.0
adler2,2.0.1,crates.io,0BSD OR MIT OR Apache-2.0
ahash,0.8.12,crates.io,MIT OR Apache-2.0
aho-corasick,1.1.5,crates.io,Unlicense OR MIT
allocator-api2,0.2.21,crates.io,MIT OR Apache-2.0
android-activity,0.6.1,crates.io,MIT OR Apache-2.0
android-properties,0.2.2,crates.io,MIT
android_log-sys,0.3.2,crates.io,MIT OR Apache-2.0
android_system_properties,0.1.6,crates.io,MIT OR Apache-2.0
approx,0.5.1,crates.io,Apache-2.0
arboard,3.6.1,crates.io,MIT OR Apache-2.0
arrayref,0.3.9,crates.io,BSD-2-Clause
arrayvec,0.7.8,crates.io,MIT OR Apache-2.0
as-raw-xcb-connection,1.0.1,crates.io,MIT OR Apache-2.0
ash,0.38.0+1.3.281,crates.io,MIT OR Apache-2.0
assert_type_match,0.1.1,crates.io,MIT OR Apache-2.0
async-broadcast,0.7.2,crates.io,MIT OR Apache-2.0
async-channel,2.5.0,crates.io,Apache-2.0 OR MIT
async-executor,1.14.0,crates.io,Apache-2.0 OR MIT
async-fs,2.2.0,crates.io,Apache-2.0 OR MIT
async-io,2.6.0,crates.io,Apache-2.0 OR MIT
async-lock,3.4.2,crates.io,Apache-2.0 OR MIT
async-task,4.7.1,crates.io,Apache-2.0 OR MIT
atomic-waker,1.1.2,crates.io,Apache-2.0 OR MIT
atomicow,1.2.0,crates.io,MIT OR Apache-2.0
autocfg,1.5.1,crates.io,Apache-2.0 OR MIT
bevy,0.19.1,crates.io,MIT OR Apache-2.0
bevy_a11y,0.19.1,crates.io,MIT OR Apache-2.0
bevy_android,0.19.1,crates.io,MIT OR Apache-2.0
bevy_animation,0.19.1,crates.io,MIT OR Apache-2.0
bevy_animation_macros,0.19.1,crates.io,MIT OR Apache-2.0
bevy_anti_alias,0.19.1,crates.io,MIT OR Apache-2.0
bevy_app,0.19.1,crates.io,MIT OR Apache-2.0
bevy_asset,0.19.1,crates.io,MIT OR Apache-2.0
bevy_asset_macros,0.19.1,crates.io,MIT OR Apache-2.0
bevy_camera,0.19.1,crates.io,MIT OR Apache-2.0
bevy_clipboard,0.19.1,crates.io,MIT OR Apache-2.0
bevy_color,0.19.1,crates.io,MIT OR Apache-2.0
bevy_core_pipeline,0.19.1,crates.io,MIT OR Apache-2.0
bevy_derive,0.19.1,crates.io,MIT OR Apache-2.0
bevy_dev_tools,0.19.1,crates.io,MIT OR Apache-2.0
bevy_diagnostic,0.19.1,crates.io,MIT OR Apache-2.0
bevy_ecs,0.19.1,crates.io,MIT OR Apache-2.0
bevy_ecs_macro_logic,0.19.1,crates.io,MIT OR Apache-2.0
bevy_ecs_macros,0.19.1,crates.io,MIT OR Apache-2.0
bevy_encase_derive,0.19.1,crates.io,MIT OR Apache-2.0
bevy_feathers,0.19.1,crates.io,MIT OR Apache-2.0
bevy_gilrs,0.19.1,crates.io,MIT OR Apache-2.0
bevy_gizmos,0.19.1,crates.io,MIT OR Apache-2.0
bevy_gizmos_macros,0.19.1,crates.io,MIT OR Apache-2.0
bevy_gizmos_render,0.19.1,crates.io,MIT OR Apache-2.0
bevy_image,0.19.1,crates.io,MIT OR Apache-2.0
bevy_input,0.19.1,crates.io,MIT OR Apache-2.0
bevy_input_focus,0.19.1,crates.io,MIT OR Apache-2.0
bevy_internal,0.19.1,crates.io,MIT OR Apache-2.0
bevy_light,0.19.1,crates.io,MIT OR Apache-2.0
bevy_log,0.19.1,crates.io,MIT OR Apache-2.0
bevy_macro_utils,0.19.1,crates.io,MIT OR Apache-2.0
bevy_material,0.19.1,crates.io,MIT OR Apache-2.0
bevy_material_macros,0.19.1,crates.io,MIT OR Apache-2.0
bevy_math,0.19.1,crates.io,MIT OR Apache-2.0
bevy_mesh,0.19.1,crates.io,MIT OR Apache-2.0
bevy_mikktspace,1.0.0,crates.io,Zlib AND (MIT OR Apache-2.0)
bevy_pbr,0.19.1,crates.io,MIT OR Apache-2.0
bevy_picking,0.19.1,crates.io,MIT OR Apache-2.0
bevy_platform,0.19.1,crates.io,MIT OR Apache-2.0
bevy_post_process,0.19.1,crates.io,MIT OR Apache-2.0
bevy_ptr,0.19.1,crates.io,MIT OR Apache-2.0
bevy_reflect,0.19.1,crates.io,MIT OR Apache-2.0
bevy_reflect_derive,0.19.1,crates.io,MIT OR Apache-2.0
bevy_render,0.19.1,crates.io,MIT OR Apache-2.0
bevy_render_macros,0.19.1,crates.io,MIT OR Apache-2.0
bevy_scene,0.19.1,crates.io,MIT OR Apache-2.0
bevy_scene_macros,0.19.1,crates.io,MIT OR Apache-2.0
bevy_shader,0.19.1,crates.io,MIT OR Apache-2.0
bevy_sprite,0.19.1,crates.io,MIT OR Apache-2.0
bevy_sprite_render,0.19.1,crates.io,MIT OR Apache-2.0
bevy_state,0.19.1,crates.io,MIT OR Apache-2.0
bevy_state_macros,0.19.1,crates.io,MIT OR Apache-2.0
bevy_tasks,0.19.1,crates.io,MIT OR Apache-2.0
bevy_text,0.19.1,crates.io,MIT OR Apache-2.0
bevy_time,0.19.1,crates.io,MIT OR Apache-2.0
bevy_transform,0.19.1,crates.io,MIT OR Apache-2.0
bevy_ui,0.19.1,crates.io,MIT OR Apache-2.0
bevy_ui_render,0.19.1,crates.io,MIT OR Apache-2.0
bevy_ui_widgets,0.19.1,crates.io,MIT OR Apache-2.0
bevy_utils,0.19.1,crates.io,MIT OR Apache-2.0
bevy_window,0.19.1,crates.io,MIT OR Apache-2.0
bevy_winit,0.19.1,crates.io,MIT OR Apache-2.0
bevy_world_serialization,0.19.1,crates.io,MIT OR Apache-2.0
bit-set,0.9.1,crates.io,Apache-2.0 OR MIT
bit-vec,0.9.1,crates.io,Apache-2.0 OR MIT
bitflags,1.3.2,crates.io,MIT/Apache-2.0
bitflags,2.13.2,crates.io,MIT OR Apache-2.0
blake3,1.8.7,crates.io,CC0-1.0 OR Apache-2.0 OR Apache-2.0 WITH LLVM-exception
block2,0.5.1,crates.io,MIT
block2,0.6.2,crates.io,MIT
blocking,1.7.0,crates.io,Apache-2.0 OR MIT
bumpalo,3.20.3,crates.io,MIT OR Apache-2.0
bytemuck,1.25.2,crates.io,Zlib OR Apache-2.0 OR MIT
bytemuck_derive,1.12.1,crates.io,Zlib OR Apache-2.0 OR MIT
byteorder,1.5.0,crates.io,Unlicense OR MIT
byteorder-lite,0.1.0,crates.io,Unlicense OR MIT
bytes,1.12.1,crates.io,MIT
calloop,0.13.0,crates.io,MIT
calloop-wayland-source,0.3.0,crates.io,MIT
cc,1.4.7,crates.io,MIT OR Apache-2.0
cfg-if,1.0.5,crates.io,MIT OR Apache-2.0
cfg_aliases,0.2.2,crates.io,MIT
clipboard-win,5.4.1,crates.io,BSL-1.0
codespan-reporting,0.12.0,crates.io,Apache-2.0
codespan-reporting,0.13.1,crates.io,Apache-2.0
combine,4.6.8,crates.io,MIT
concurrent-queue,2.5.0,crates.io,Apache-2.0 OR MIT
console_error_panic_hook,0.1.7,crates.io,Apache-2.0/MIT
const-fnv1a-hash,1.1.0,crates.io,MIT
const_panic,0.2.17,crates.io,Zlib
const_soft_float,0.1.4,crates.io,MIT OR Apache-2.0
constant_time_eq,0.4.2,crates.io,CC0-1.0 OR MIT-0 OR Apache-2.0
constgebra,0.1.4,crates.io,MIT OR Apache-2.0
convert_case,0.10.0,crates.io,MIT
core-foundation,0.9.4,crates.io,MIT OR Apache-2.0
core-foundation-sys,0.8.7,crates.io,MIT OR Apache-2.0
core-graphics,0.23.2,crates.io,MIT OR Apache-2.0
core-graphics-types,0.1.3,crates.io,MIT OR Apache-2.0
core_maths,0.1.1,crates.io,MIT
cpufeatures,0.3.1,crates.io,MIT OR Apache-2.0
crc32fast,1.5.2,crates.io,MIT OR Apache-2.0
critical-section,1.2.0,crates.io,MIT OR Apache-2.0
crossbeam-channel,0.5.17,crates.io,MIT OR Apache-2.0
crossbeam-queue,0.3.14,crates.io,MIT OR Apache-2.0
crossbeam-utils,0.8.23,crates.io,MIT OR Apache-2.0
crunchy,0.2.4,crates.io,MIT
ctrlc,3.5.2,crates.io,MIT/Apache-2.0
cursor-icon,1.2.0,crates.io,MIT OR Apache-2.0 OR Zlib
data-encoding,2.11.1,crates.io,MIT
derive_more,2.1.1,crates.io,MIT
derive_more-impl,2.1.1,crates.io,MIT
dispatch,0.2.0,crates.io,MIT
dispatch2,0.3.1,crates.io,Zlib OR Apache-2.0 OR MIT
displaydoc,0.2.7,crates.io,MIT OR Apache-2.0
disqualified,1.1.0,crates.io,MIT OR Apache-2.0
dlib,0.5.3,crates.io,MIT
document-features,0.2.12,crates.io,MIT OR Apache-2.0
downcast-rs,1.2.1,crates.io,MIT/Apache-2.0
downcast-rs,2.0.2,crates.io,MIT OR Apache-2.0
dpi,0.1.2,crates.io,Apache-2.0 AND MIT
either,1.18.0,crates.io,MIT OR Apache-2.0
encase,0.12.1,crates.io,MIT-0
encase_derive,0.12.1,crates.io,MIT-0
encase_derive_impl,0.12.1,crates.io,MIT-0
equivalent,1.0.2,crates.io,Apache-2.0 OR MIT
erased-serde,0.4.10,crates.io,MIT OR Apache-2.0
errno,0.3.14,crates.io,MIT OR Apache-2.0
error-code,3.4.0,crates.io,BSL-1.0
euclid,0.22.14,crates.io,MIT OR Apache-2.0
event-listener,5.4.2,crates.io,Apache-2.0 OR MIT
event-listener-strategy,0.5.4,crates.io,Apache-2.0 OR MIT
fastrand,2.5.0,crates.io,Apache-2.0 OR MIT
fdeflate,0.3.7,crates.io,MIT OR Apache-2.0
find-msvc-tools,0.1.13,crates.io,MIT OR Apache-2.0
fixedbitset,0.5.7,crates.io,MIT OR Apache-2.0
flate2,1.1.10,crates.io,MIT OR Apache-2.0
fnv,1.0.7,crates.io,Apache-2.0 / MIT
foldhash,0.1.5,crates.io,Zlib
foldhash,0.2.0,crates.io,Zlib
font-types,0.11.3,crates.io,MIT OR Apache-2.0
font-types,0.12.5,crates.io,MIT OR Apache-2.0
fontique,0.9.0,crates.io,Apache-2.0 OR MIT
foreign-types,0.5.0,crates.io,MIT/Apache-2.0
foreign-types-macros,0.2.4,crates.io,MIT/Apache-2.0
foreign-types-shared,0.3.1,crates.io,MIT/Apache-2.0
